treemap,scenario,etage_1,etage_2,etage_3,case,contribution,explication
Jeu vidéo,Particules fines,Jouer sur ordinateur fixe,Utilisation de ↴,L'écran,0.000000000670000,par étape de cycle de vie,
Jeu vidéo,Particules fines,Jouer sur ordinateur fixe,Fin de vie de ↴,L'ordinateur de bureau,0.000000000124000,par étape de cycle de vie,
Jeu vidéo,Particules fines,Jouer sur ordinateur fixe,Fin de vie de ↴,L'écran,0.000000000037200,par étape de cycle de vie,
Jeu vidéo,Particules fines,Jouer sur ordinateur fixe,Connexion internet,Fabrication,0.000000000143000,par étape de cycle de vie,
Jeu vidéo,Particules fines,Jouer sur ordinateur fixe,Connexion internet,Transport,0.000000000000000,par étape de cycle de vie,
Jeu vidéo,Particules fines,Jouer sur ordinateur fixe,Connexion internet,Utilisation,0.000000000798000,par étape de cycle de vie,
Jeu vidéo,Particules fines,Jouer sur ordinateur fixe,Connexion internet,Fin de vie,0.000000000009500,par étape de cycle de vie,
Jeu vidéo,Particules fines,Jouer sur ordinateur fixe,Serveurs,Fabrication,0.000000000006360,par étape de cycle de vie,
Jeu vidéo,Particules fines,Jouer sur ordinateur fixe,Serveurs,Transport,0.000000000000310,par étape de cycle de vie,
Jeu vidéo,Particules fines,Jouer sur ordinateur fixe,Serveurs,Utilisation,0.000000000024000,par étape de cycle de vie,
Jeu vidéo,Particules fines,Jouer sur ordinateur fixe,Serveurs,Fin de vie,0.000000000000310,par étape de cycle de vie,
Jeu de société,Changement climatique,Petit format,Production des éléments en papier et carton,Production de la boîte du jeu,0.116000000000000,par étape de cycle de vie,"Lorsqu'on joue, c'est la production des composants en papier et carton qui a le plus d'impact sur le changement climatique."
Jeu de société,Changement climatique,Petit format,Production des éléments en papier et carton,Production des cartes,0.431000000000000,par étape de cycle de vie,
Jeu de société,Changement climatique,Petit format,Production des éléments en plastique,Production des emballages des cartes,0.000816000000000,par étape de cycle de vie,
Jeu de société,Changement climatique,Petit format,Production des éléments en papier et carton,Production du punchboard (plateau en carton),0.031600000000000,par étape de cycle de vie,
Jeu de société,Changement climatique,Petit format,Production des éléments en papier et carton,Production des règles du jeu,0.063800000000000,par étape de cycle de vie,
Jeu de société,Changement climatique,Petit format,Production des éléments en plastique,Production des emballages de la boîte du jeu,0.002222000000000,par étape de cycle de vie,
Jeu de société,Changement climatique,Petit format,Transport du jeu,Transport de la Chine à la Suisse,0.087400000000000,par étape de cycle de vie,
